organization,programme,economic_category,standard_object,appropriation,amount
Fisheries and Oceans Canada,Information Technology Services,other,Other subsidies and payments,voted,104967.3
Correctional Service Canada,Information Technology Services,operating,"Utilities, materials and supplies",voted,104915.05
Global Affairs Canada,Marine Atlantic Inc.,operating,Professional and special services,voted,104896.42
Offices of the Information and Privacy Commissioners of Canada,Internal Services,capital,Acquisition of machinery and equipment,voted,104870.96
Environment and Climate Change Canada,Biodiversity Policy and Partnerships,operating,Rentals,voted,104737.41
Transport Canada,Management and Oversight Services,other,Other subsidies and payments,voted,104728.11
Social Sciences and Humanities Research Council of Canada,Research Partnerships,operating,Transportation and communications,voted,104638.91
Department of Justice Canada,Monitor Patented Medicine Prices,personnel,Personnel,voted,104373.45
Royal Canadian Mounted Police,Materiel Management Services,operating,Repair and maintenance,statutory,104238.24
National Defence,Operations in North America,operating,Professional and special services,voted,104236.99
Public Services and Procurement Canada,Financial Management Services,operating,Information,voted,103950.27
Agriculture and Agri-Food Canada,Farm Products Council of Canada,operating,Information,voted,103949.57
Parole Board of Canada,Actuarial Services,operating,Rentals,voted,103920.71
Environment and Climate Change Canada,Species at Risk,other,Other subsidies and payments,voted,103841.02
National Research Council Canada,Canadian Photonics Fabrication Centre,operating,Rentals,voted,103792.41
Royal Canadian Mounted Police,Information Technology Services,capital,Acquisition of machinery and equipment,statutory,103600.0
Royal Canadian Mounted Police,Operational IM/IT Services,personnel,Personnel,unknown,103497.57
Administrative Tribunals Support Service of Canada,Mandate and Members Services,operating,"Utilities, materials and supplies",voted,103457.29
Health Canada,Physical security,operating,Rentals,voted,103452.83
Copyright Board Canada,Internal Services,personnel,Personnel,statutory,103234.71
Transportation Safety Board of Canada,Aviation Occurrence Investigations,capital,Acquisition of machinery and equipment,voted,103169.82
Pacific Economic Development Agency of Canada,Innovation,operating,Transportation and communications,voted,102841.35
Public Health Agency of Canada,Biosecurity,capital,Acquisition of machinery and equipment,voted,102639.14
Transport Canada,Indigenous Partnerships and Engagement,operating,Professional and special services,voted,102595.36
National Defence,Equipment Support,operating,Transportation and communications,statutory,102478.38
"Housing, Infrastructure and Communities Canada",Information Technology Services,operating,Transportation and communications,voted,102443.39
Canadian Heritage,Internal Services,other,Other subsidies and payments,statutory,102349.34
National Defence,Ombudsman,operating,Information,voted,102231.6
National Defence,Information Management Services,other,Other subsidies and payments,voted,101991.42
Natural Resources Canada,Provision of Federal Leadership in the Minerals and Metals Sector,operating,Rentals,voted,101981.8
Fisheries and Oceans Canada,Species at Risk,operating,Repair and maintenance,voted,101901.06
Canada Border Services Agency,Legal Services,personnel,Personnel,statutory,101899.58
Immigration and Refugee Board of Canada,Immigration Appeal Decisions,operating,Transportation and communications,voted,101832.74
Royal Canadian Mounted Police,Departmental Security,operating,Rentals,voted,101760.38
Canadian Centre for Occupational Health and Safety,Occupational health and safety information and services,operating,"Utilities, materials and supplies",statutory,101634.09
Natural Resources Canada,Canada Lands Survey System,other,Other subsidies and payments,voted,101632.5
Offices of the Information and Privacy Commissioners of Canada,Administration and Interpretation of the Ethics and Conflict of Interest Code for Senators,capital,Acquisition of machinery and equipment,voted,101510.97
Financial Transactions and Reports Analysis Centre of Canada,"Strategic Intelligence, Research and Analytics",personnel,Personnel,voted,101480.96
Employment and Social Development Canada,Internal services,operating,Information,voted,101379.15
Transport Canada,Aviation Security Oversight,operating,"Utilities, materials and supplies",voted,101268.31
Transport Canada,Financial Management Services,operating,Transportation and communications,voted,101248.65
Canada Border Services Agency,Management and Oversight Services,other,Other subsidies and payments,voted,101103.2
Transport Canada,Security Clearances,operating,Information,voted,100835.25
Natural Resources Canada,Pest Risk Management,operating,Information,voted,100650.33
Library and Archives Canada,Preservation,capital,Acquisition of machinery and equipment,statutory,100495.04
National Film Board,"Preservation, conservation and digitization of works",operating,Professional and special services,voted,100476.06
Department of Indigenous Services,Communications Services,operating,"Utilities, materials and supplies",voted,100456.35
Public Safety Canada,Information Management Services,operating,Rentals,voted,100452.74
"Immigration, Refugees and Citizenship Canada",Human Resources Management Services,operating,Transportation and communications,voted,100329.06
National Research Council Canada,Canadian Photonics Fabrication Centre,operating,Professional and special services,voted,100163.84
Agriculture and Agri-Food Canada,Real Property Management Services,operating,Transportation and communications,voted,100163.62
Canadian Intergovernmental Conference Secretariat,Internal Services,operating,Rentals,voted,100146.24
Natural Resources Canada,Common Government of Canada Information Technology (IT) Operations,operating,Rentals,voted,100146.0
Public Safety Canada,Communications Services,operating,Professional and special services,voted,100102.32
Statistics Canada,Management and Oversight Services,operating,Transportation and communications,voted,100080.56
National Defence,Ombudsman,capital,Acquisition of machinery and equipment,voted,100070.22
Fisheries and Oceans Canada,Salmonid Enhancement,capital,"Acquisition of land, buildings and works",statutory,100000.0
Agriculture and Agri-Food Canada,"Chamber, Committees and Associations",operating,Professional and special services,statutory,99950.0
Royal Canadian Mounted Police,Financial Management Services,capital,Acquisition of machinery and equipment,statutory,99893.15
Public Services and Procurement Canada,Marine Operations and Response,operating,Repair and maintenance,voted,99890.88
Privy Council Office,Planning and Operation of Cabinet,operating,"Utilities, materials and supplies",voted,99783.45
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Internal Services,operating,Rentals,voted,99663.19
Public Service Commission of Canada,Recruitment and Assessment Services,operating,Transportation and communications,voted,99610.49
Department of Indigenous Services,Elementary and Secondary Education,other,Other subsidies and payments,voted,99558.98
Office of the Conflict of Interest and Ethics Commissioner,Internal Services,operating,Rentals,voted,99451.04
Environment and Climate Change Canada,Information Technology Services,other,Other subsidies and payments,voted,99369.39
Agriculture and Agri-Food Canada,Citizenship and Passports,operating,Information,voted,99334.77
Pacific Economic Development Agency of Canada,Innovation,operating,Rentals,voted,99309.88
Department of Justice Canada,Justice System Partnerships,personnel,Personnel,statutory,99295.58
Natural Resources Canada,Youth Employment and Skills Strategy - Science and Technology Internship Program - Green Jobs,personnel,Personnel,statutory,99265.96
Canadian Food Inspection Agency,Information Management Services,operating,Professional and special services,voted,99254.42
Invest in Canada Hub,Marketing,operating,Transportation and communications,voted,99144.11
Environment and Climate Change Canada,"Aquatic Ecosystems Health, Substances and Waste Management",other,Other subsidies and payments,voted,98950.55
